Model ranking;ranking;ind;relevance;review
0;41;68;0.4828346298423573;desk pretty fabulous take little get even though prime ca n t hold it n nit arrived pieces including hardware instructions took hour put together working casually n t setting break installation records nothing labelled marked however opened box go check piece listed ensure everything also comes furniture marker case make scratches assembly thought cool n nit comes metal bracket attaches three studs wall heavy duty screws bracket installed wall desk simply hooks bracket amazingly sturdy listed exceed 100lbs amazing amount weight desk hold n nit n t looks cheap chintzy looks like nice piece furniture appreciate top shelf able put lamp illuminates whole surface desk rather lamp one corner work surface
1;11;44;0.46456821731948167;lot researching finally deciding buying desk reading comments afraid getting wrong color missing parts worries disappeared opened box everything even extra parts left small desk bedroom took much room years ago purchased floating shelf loved finally found desk match looks like made put desk high enough arms chair fits underneath wanted stand would n t awkward whole area compact yet plenty room stuff put desk together kind hard several attempts got together two people needed hang unless strong person took get used desk sensation may fall lap s two weeks already used height con depth 19 almost enough space monitor keyboard help keep desk clutter free
2;9;58;0.4375743102788025;hope review help make informed choice comes computer desk n n gave desk four star based couple reasons first fact actually love look design desk second creates leg room de clutters computer area ask would purchase would say yes beautiful spacious piece n n little concerns new buyers go ahead time get lag bolts store sent three desk three broke prepared review already read also desktop two small spots chips one spot size shape tip fingernail corner desktop appears crumpled little say dents chips came since box open upon arrival said still happy desk live dents price look feel desk n ni would also recommend desk easily discouraged purpose perfect
3;16;49;0.41171342297511326;solid wall desk sizing newer thinner 2012 27 inch imac fit main opening perfectly bit room side take top middle section finishing piece hides wall rail leave n t leave needed room imac put piece bottom top aluminum stand hide cables simple nothing buy past box keep power strip excess cable used power line conditioner power strip power adapters power accessories basically cleanest look could get setup n nnow potential deal killer keep mind fairly heavy desk desk solid wall may comes 3 screws mount wood studs think usually metal studs work around mounted think satan must designed building mounted drywall bricks decided take plus got concrete brick anchors basically specific screws got set buildex tapcon came correct drill bit box minimize issues 17 blindly drilling away hold hit mortar problem drill another hole inch two away used 10 screws total net 500 pounds holding power n nthis unit literally rail single piece metal mount wall place unit onto s nothing else holds putting fairly unsure got rest easy pound desk seat properly rail system word advice know back screws bit n t tighten fully unit place tighten screws way designed lets access screws long screws n t magically back brick never come accidently fyi manual recommend mount wood studs n nbasically particle board mdf mdf main desk surface reduces vibrations unlike ikea piece covered thicker black veneer similar flat pack furniture made ikea solid almost ikea piece today canadian company seem make better stuff even higher priced items packed well multiple spots damage box product said wish solid wood model option even higher cost best wall mounted desk could find price good get would purchase
4;33;28;0.3338999423005478;desk easy install looks great love saves lot space yet still enough room get things done n nonly bad thing hanging s hard get cables come small space back desk meant hide everything add things afterwards s pain get new cords inside
5;30;38;0.3039958477632499;pleased desk pieces labeled difficult identify experience putting together type furniture wood screws used mount bar wall tightened allen wrench husband hated type bit drill use instructions measuring height mount wall think typo measure carefully understand measurements diagrams may need adjusted based needs bump everything 1 5 outlets higher desk love n t take much space perfect needs
6;34;13;0.29983899689031385;best desk ever s sturdy put husband put together 1 hour nice saves much room excellent home desk planning getting daughter one soon wo n t disappointed worth every penny
7;76;41;0.29034265173662765;like desk takes much less room old one get easy pick things fall clean floor bad part 2 man job put found builder put studs supposed put paper chalk board back wall even found stool fit perfect color amazon
8;4;12;0.2622518856646644;seeing pics desk apple imacs decided purchase desk fit great largest window desk desk hangs metal bar screwed wall front lifted bumped front office chair goes experience new 5k retina 27 imac screen shattered costing 606 repair needs option secures desk wall rather hanging would return could anyone else experienced breaking valuables desk
9;59;48;0.2524499130699331;alright everyone s deal wife live condo needed clear command center second bedroom new arrival came across corner desks narrow side tables desks awesome creation hangs perfectly living room work station n nshipping arrived next day via amazon prime close distro center n npackaging tear packaging came one uniform slightly heavy box pieces accounted for n nsetup instructions straight forward easy follow need patience separate pieces account everything n ntime approximately 2 hours set up n nconsiderations followed another gentleman noted placing near electrical outlet suggested 56 inches ground top assembly assuming outlet 19 inches ground m 5 6 slightly higher thought would perfect standing height setup would need chair 24 inch height actually n t mind current height prevents new born toddler smacking head corners cubby hole underneath genius hiding cords n nuse 27 inch imac 2013 made fit less millimeter clearance n ni highly recommend small spaces need utilize space without taking floor wo n t regret purchase
10;10;40;0.22815372129598369;really like desk opens floor underneath desk makes looks clean cords kept hidden away tidy put mine corner normal desk makes seem dark desk brightens functional short horizontal piece behind keep monitor see pictures covers part hanging system found useful purchasing peel stick dry erase board attaching s mini dry erase area great little notes inspirational quotes
11;57;27;0.2070852374196178;small bedroom teen worked perfectly took bit put together added blue rope back lighting hung wall gave 4 stars hung one shelves fell actually took 1 4 chunk laminate taking care putting together hanging something simple actually damaged backlit blue rope light top valance board looks great
12;68;22;0.1777715072884621;great quality easy build cool together wall
13;45;10;0.12139539573337682;desk really tiny adult work side compartments fit small accessories n t expect take shelves put tower s easy way add speakers desk unless really long auxiliary cords n ncheap non solid wood paint already coming use mouse think ve used month parents sell furniture judging material would get expect get something much nicer price range waiting well known company manufacture style desk replace it n nthe three stars style look pretty wall wish bigger
